position,job_type,company_name,location,company_rating,company_reviews,reviews_link,salary_low,salary_high,experience,description,job_posted,url,page
Staff Accountant,Full-time,Genesis Facility Services,"San Mateo, CA 94402",,,,75000,95000,4 years,"Genesis Facility Services is looking for an Accountant to support all areas of accounting (A/P, A/R, G/L, JE, reconciliations, reports) in our San Mateo office.We are a 4th generation family-owned company established in 1927 with a reputation built on strong customer service and relations and treating out employees with that same respect. We are highly collaborative and value accountability, strong work ethics and a focus on process improvement.What you will be challenged with: Oversight of A/P, G/L and JEGeneral bookkeepingMonthly, quarterly and annual closing processesWork wit CFO on regular reporting requirementsAccount reconciliationProvide support to the CFOBack up for A/R and, possibly, payrollWhat you bring to the companyA “get stuff done” attitudeAn “I can prove I can do it” attitudeA passion for accounting – detail and accuracy are what drive youExceptional Excel and systems skills – you are intermediate to advanced and not afraid to try things outAdvanced Experience with Quickbooks EnterpriseAbility to work independently with little supervision and direction (because you get things doneBachelor's degree and at least 4 years of experience, or equivalent combination of work experienceSpanish fluency is a plusWhat the company can offer you: Career path for growthCompetitive salaryHealth benefits – medical, dental, visionPaid HolidaysPaid vacation and sick timeIf this sounds like you, apply for immediate consideration. They are eager to find the right candidate.Job Type: Full-timePay: $75,000.00 - $95,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offVision insurancePhysical Setting:OfficeSchedule:8 hour shiftMonday to FridayWork Location:One locationWork Remotely:NoWork Location: One location",7 days ago,https://www.indeed.com/company/Genesis-Facility-Services/jobs/Staff-Accountant-f9ad37ada8ded288?fccid=dc6f91531b5b25ee&vjs=3,2
Junior Accountant and Procurement Specialist,Full-time,Thomas Edison Charter Academy,"San Francisco, CA 94114",,,,,,,"Junior Accountant and Procurement SpecialistPosition ObjectiveUnder the direction of the Superintendent/Executive Director and Director of Finance, provide leadership and assistance with school and district projects to meet all compliance requirements and local, state and federal reporting needs.Duties and Responsibilities: Finance and Accounting Department Support: Print and process invoicesAssist with district level attendance and after school attendance oversight, verifying, and reportingUse the student system to monitor and verify school and afterschool attendance.Assist with accounts payable, including supporting the weekly check runAssist in the development of quarterly and annual financial reportingAssist with audit compliance and requestsAssist in updating Finance/Accounting reportsAssist with 1099 Form ProcessingAssist with Document FilingJournal and Adjusting Entries for AccountingData Entry for Accounting and FinanceReconciliation of Accounts and PaymentsAssist with data and document collection. (Jr.)Spreadsheet tracking for restricted funding.Procurement and Fiscal AccountabilityOrder supplies, materials and equipment for the school and district from approved vendors using the online system.Obtains price quotes from suppliers based on the approved purchase requests.Review prices and product specifications from various suppliers to determine which would provide the best deal.Track deliveries and make sure TECA receives exactly what was orderedDevelop procurement strategies for known needs, and develop streamlined systems for locating items, ordering items, documenting purchases, and financial coding.Monitor expenditures across all budgets, and provide updates for stakeholders, as needed.Fulfill all requests for event related food service needs, including overseeing set-up at events.Verify and process expense reimbursementsProcess purchase orders for the school and district.Other ResponsibilitiesMaintain administrative offices in professional working order (Jr.)Maintain professionalism and confidentiality required in work. (Jr.)Participate in business meetings (Jr.)Assist with other duties as assignedClerical support for employees on-boarding and benefitsFlexibility around weekly and daily duties to accommodate prioritizing the support to prepare Federal and State reporting deadlinesQualificationsBachelor's degree preferred, however Associates Degree and two-years of college acceptable with appropriate work experience in an accounting related fieldAble to effectively use Microsoft Office, Excel and Access and Google-related productsCommunicate effectively in both writing and speaking, and with children, adolescents and adults in EnglishTeam player with strong interpersonal skillsAbility to work in a fast-paced office, and maintain attention to detail and strong follow-throughThis is full-time, year-round position.Starting from $20.00-$24.00 per hour depending upon experience. November 2021Job Types: Full-time, ContractPay: $20.00 - $24.00 per hourBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programFlexible spending accountHealth insuranceLife insuranceParental leaveVision insurancePhysical Setting:OfficeSchedule:8 hour shiftMonday to FridayEducation:Bachelor's (Preferred)Experience:Financial accounting: 1 year (Required)License/Certification:CPA (Preferred)Work Location:One locationWork Remotely:NoWork Location: One location",4 days ago,https://www.indeed.com/company/Thomas-Edison-Charter-Academy/jobs/Junior-Accountant-Procurement-Specialist-16c42a09c8d88d8c?fccid=592ff9b88d0510de&vjs=3,2
Forensic Accountant,Full-time,Stegner McFarlin CPAs LLP,"Walnut Creek, CA 94598",,,,55000,70000,,"Looking for a public accounting role outside of audit or tax? Looking for a regional firm for more work/life integration? This staff forensic accountant position might be perfect for youOur firm is one of the premiere family law forensic accounting firms in the Bay Area. Additionally, we perform business valuations for hundreds of businesses across the country. Finally, we assist courts and attorneys in other forensic and fraud matters as expert witnesses.This entry-level position will get an opportunity to work in all of our service areas with plenty of on-the-job training. This position will assist with calculations related to family law forensic matters including tracings, income determinations, and stock analysis. Additionally, this position will learn how to determine the value of privately held businesses and draft reports to substantiate valuation conclusions. Additionally, this position will assist with other fraud and forensic matters to assist attorneys and the court.We are looking for a detailed oriented, bright accountant with interests outside of traditional public accounting looking to join a small but dynamic team. If interested, please submit a cover letter and resume.Job Type: Full-timePay: $55,000.00 - $70,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offProfessional development assistanceVision insuranceWork from homePhysical Setting:OfficeSchedule:Monday to FridaySupplemental Pay:Bonus payCOVID-19 considerations:All customers are required to wear a mask. The entire firm is vaccinated and masks are required of all non-vaccinated employees and guests.Education:Bachelor's (Preferred)Experience:Public accounting: 1 year (Preferred)License/Certification:CPA (Preferred)Work Location: One location",13 days ago,https://www.indeed.com/company/Stegner-McFarlin-CPAs-LLP/jobs/Forensic-Accountant-6cd97c252b74e0f1?fccid=7900d3a9f7c76cc6&vjs=3,2
Accountant,Full-time,"Elsener & Elsener, LLP","Sausalito, CA 94965",,,,,,,"Sausalito CPA firm is currently seeking tax associates at multiple levels.Positions available: Staff, Seniors and Managers.Challenging workload with strong opportunity for growth.Competitive salary, flexible hours, benefits and a friendly environment.Part-time or full-timeJob Type: Full-timeBenefits:401(k) matchingHealth insurancePaid time offProfessional development assistancePhysical Setting:OfficeSchedule:8 hour shiftMonday to FridayEducation:Bachelor's (Preferred)Work Location: One location",12 days ago,"https://www.indeed.com/company/Elsener-&-Elsener,-LLP/jobs/Accountant-99c26dbfd5c97cb8?fccid=0f9a5db64025d28a&vjs=3",2
Staff Accountant,Full-time,WestCoast Children's Clinic,"Oakland, CA 94601",3.2,28,https://www.indeed.com/cmp/Westcoast-Children's-Clinic/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lr0q7o29k800&fromjk=dd2282cb9c943120&jt=Staff+Accountant,60000,60000,1-2 years,"Who are we?

WestCoast Children's Clinic, located in Oakland, California, is a non-profit community psychology clinic that has provided mental health services to Bay Area children since 1979. Our mission is threefold: 1) to provide psychological services to vulnerable children, adolescents, and their families regardless of their ability to pay; 2) to train the next generation of mental health professionals; 3) to improve services to children and families by conducting research on the impact of clinical services and utilizing findings to advocate on behalf of the children we serve. Working at WestCoast Children's Clinic means being part of an organization that is client-centered, trauma-informed, collaborative, and committed to justice and equity.
Who are we?

WCC aims to improve the well-being of children and families who live at the intersection of racism, poverty, and systemic indifference. Working here means being part of an organization that is youth- & family-centered, trauma-informed, collaborative, and committed to justice and equity. We integrate direct service, training, policy, and research to root our work in the experiences of children, youth, and families and advocate for systemic changes that will improve the lives of young people. We have Staff Affinity Groups such as Staff of Color, LGBTQIA+, White Accountability, Equity and Inclusion, Health and Wellness, and more.

About the Position:

WestCoast Children's Clinic is seeking a Staff Accountant, who is responsible for processing a variety of accounting transactions in the Sage MIP accounting system. Responsibilities of this position will include preparing general ledger entries, supporting the monthly close, processing cash receipts, preparing balance sheet reconciliations and supporting the annual financial audit and tax preparation.

Key Responsibilities:

Responsible for maintaining accurate accounting records, reconciling all trial balance accounts, bank statements, credit card statements, and subsidiary ledgers.
Prepare schedules for accruals, prepaids, and capital leases.
Prepare, review and record revenue invoices.
Process Accounts Payable invoices (obtain authorization, record in general ledger, make payments)
Prepare journal entries to record expenses from expense reimbursement system
Allocates transactions to the appropriate program, departments and/or grants.
Support the annual audit and tax preparation by an external accounting firm.
Additional responsibilities as requested by the Senior Accountant.

Qualifications:

Bachelor's degree in Accounting or Finance with 1-2 years of experience in accounting, preferably in the non-profit sector.
Experience with accounting software packages, preferably Sage MIP.
Proficient with Google Suite, Microsoft Word and Excel.

Competencies:

Solid understanding of general ledger, accounts receivable, and fixed asset systems.
Thorough knowledge of all aspects of the accounting cycle and accounting rules (GAAP/FASB).
Strong analytical and problem-solving skills
Ability to prioritize and work accurately with close attention to detail; strong time management skills and an ability to work independently.
Excellent written and oral communication skills.

Position Details and Compensation:

This is a full-time position. Starting salary is $60,000 per year and includes competitive benefits and compensation package, 403b and performance-based compensation plans.

403b retirement contribution and performance-based compensation
100% Employer paid medical, dental, vision, life insurance, and long-term disability coverage
Flex-spending account options - Medical, Dependent Care and Commuter Plans
20 days paid time off (PTO) per year for full time employees (pro-rated for less than full time), 14 Paid Holidays, Self-Care Leave, and additional PTO accrual with years of service.

Working here means making a difference for the Bay Area's most vulnerable kids and families, being part of a compassionate, driven team that is social justice-focused, and belonging to a growth-oriented learning community dedicated to providing the highest standard of care, and that offers extensive trainings led by field experts.
Join us and make a difference in the lives of vulnerable children and families in the Bay Area.

WCC is passionate about leading and encouraging open conversations around race, gender, power, and privilege and how these impact community mental health. Our staff affinity groups include Staff of Color Council, LGBTQ Staff Group, White Accountability Group, and Equity and Inclusion Council.

We are an equal opportunity employer. We are committed to diminishing the influence of privilege and discrimination in our field and our workplace, whether due to differences concerning age, citizenship, color, disability, marital or parental status, race, religion, gender, or sexual orientation.",5 days ago,https://www.indeed.com/rc/clk?jk=dd2282cb9c943120&fccid=abbd33857d0ccc6e&vjs=3,2
Staff Accountant,Full-time,SUPER LINK PLASTIC,"Oakland, CA 94603",,,,,,,"We are seeking a highly-skilled, experienced accountant to join our growing business. You will oversee the entire accounting function; delegating and ensuring the staff follows all accounting laws and company procedures. You must be able to take large amounts of accounting information, analyze results, and make changes where necessary to benefit the company.Report directly to the business ownerYou will be working with other accounting staff; creating accounting strategies to maximize profits; managing payroll and taxes; regularly examining financial statements to ensure accuracy and free from errors; organizing and updating financial records; monitoring all bookkeeping; analyzing accounts and suggesting improvements to reduce costs and increase profits; making sure all financial data adheres to current tax laws and regulations; keep company accounts information confidential; stay abreast of industry changes and current tax/accounting laws; prepare, manage, and present daily, weekly, and monthly reports; and act as a liaison to outside auditors.Job Type: Full-timePay: $25.00 - $35.00 per hourBenefits:Flexible schedulePaid time offPhysical Setting:OfficeSchedule:8 hour shiftMonday to FridaySupplemental Pay:Bonus payEducation:Bachelor's (Preferred)Work Location:One locationWork Remotely:NoWork Location: One location",10 days ago,https://www.indeed.com/company/SUPER-LINK-PLASTIC/jobs/Staff-Accountant-4e07854edcfcde9f?fccid=2742442915309c43&vjs=3,2
Staff Accountant,Full-time,CG Uhlenberg LLP,"Belmont, CA 94002",,,,60000,63000,1+ years,"Staff Accountant, CPA Local tax firm is seeking an associate or senior level accountant. This is a full-time salaried position to start in January 2022.Prepare individual, corporation, trust, and partnership income tax returnsPerform accounting services, such as preparation of financial statements in conformity with Generally Accepted Accounting PrinciplesPrepare other tax returns, such as gift, estate, payroll, sales, and property taxesPerform international tax compliance service, such as transfer pricing studies, and tax forms as required by Foreign Account Tax Compliance ActRequirement:1. Bachelor degree in accounting or equivalent2. Must be eligible for CPA exam or has already passed part or all CPA exam3. Excellent verbal and communication skill4. 1+ years of public accounting work experience, income tax preparation experience preferred but new graduate is welcome too.We follow all local and state COVID-19 mandates regarding working in office. We currently require all staff to be vaccinated or have an approved exemption. For training purpose, this position requires working in office at least during the first six months of employment. We will determine when and if the employee is ready to switch from in-office to hybrid. Currently, all staff are under hybrid workplace policy.We provide the following benefit:Health, dental, and vision insurance, long term disability insurance, 401K with matching, PTOFind out more about our firm at www.cgucpa.comJob Type: Full-timePay: $60,000.00 - $63,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceFlexible scheduleHealth insurancePaid time offParental leaveVision insuranceWork from homePhysical Setting:OfficeSchedule:Monday to FridaySupplemental Pay:Bonus payApplication Question(s):Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?Education:Bachelor's (Required)Experience:Accounting: 1 year (Preferred)Work Location:One locationWork Remotely:Temporarily due to COVID-19Work Location: One location",4 days ago,https://www.indeed.com/company/CG-Uhlenberg-LLP/jobs/Staff-Accountant-11ece5885dda00f3?fccid=267aaeb99902696e&vjs=3,2
Staff Accountant,Silverado Contractors,Silverado Contractors,"Oakland, CA 94608",,,,,,2 years,"Staff Accountant, Oakland CA Who we areWe are an industry-leading union contractor providing a full spectrum of demolition and excavation services to private developers, general contractors, industrial and public works clients throughout the west coast. Our scope of expertise includes every conceivable type of project including building demolition, selective demolition, industrial, marine, transportation, bridge removal, remediation, complete site decommissioning, plant closure, asset recovery and recycling, excavation, and site preparation. Notable past projects include the removal of the Bay Bridge, Candlestick Park, and the 6th Street Viaduct in Los Angeles. Please see our website at www.silveradocontractors.com.What we are looking forThe Staff Accountant assists with all aspects of the finance and accounting functions of the organization including AP/AR, job cost accounting, payroll, and cash flow management.Responsibilities Reporting to the Assistant Controller, the Staff Accountant will provide financial and payroll support services. The position works closely with other accounting personnel, internal departments, and external parties.Perform all duties in compliance with GAAP and applicable federal, state, and local regulatory laws and rules for financial and tax reporting.Assist processing A/P for the company’s sister companies.Assist with asset management process and reporting.Post journal entries and reconcile general ledger accounts as needed.Assist in processing monthly bank reconciliations.Assist with Union dues, Insurance, payroll tax reconciliation.Assist with month-end and year-end closing processes.Act as back-up to other accounting staff, payroll, and certified payroll.Additional duties as assigned.QualificationsMinimum Associates’ s degree (A.A.) in Accounting and 2 years professional work experience in accounting and I year experience in payroll or equivalent.Knowledge of generally accepted accounting principles.Proficiency in Microsoft Office (Word, Excel, and Outlook).Strong analytical problem-solving aptitude with creative solutions, ability to organize. work with large amounts of information efficiently.Manage multiple projects and deadlines simultaneously with strong attention to detail.Able to work as a team player.Open to development of skills and knowledge.Willingness to be flexible and adaptable to change.What's in it for you? Unmatched company culture.A company that invests in it 's employees' development.Competitive compensation - commensurate with experience and a rich benefits package including company-paid health, dental and vision plans, HSA, FSA, LifeInsurance and 401k plan with employer match and profit sharing.Local candidates encouraged to apply!Principals only. Recruiters, please do not contact.We are an equal opportunity employer and value diversity. All employment is decided on the basis of qualifications, merit, and business need.Job Type: Full-timePay: $24.00 - $33.00 per hourBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programFlexible spending accountHealth insuranceLife insurancePaid time offProfessional development assistanceTuition reimbursementVision insurancePhysical Setting:OfficeSchedule:8 hour shiftMonday to FridaySupplemental Pay:Bonus payCOVID-19 considerations:Our office is 100% vaccinated, we take all precautions, wearing masks in common areas, surfaces are sanitized regularly.Education:Associate (Preferred)Experience:GAAP: 1 year (Preferred)Work Location:One locationWork Remotely:NoWork Location: One location",10 days ago,https://www.indeed.com/company/Silverado-Contractors/jobs/Staff-Accountant-d76cd706435186f1?fccid=0d6375bebbcfe728&vjs=3,2
Accountant Assistant,"Full-time, Part-time","Hycare, Inc.","San Leandro, CA 94577",,,,,,,"Hycare, a Premier health care provider has several skilled nursing facilities in the East Bay Areas. We are currently looking for an accountant Assistant full-time or part-time. Ideal candidate must have excellent computer skills: Excel, Word, etc. Preferred AA or BS degree in accounting. Experience preferred but willing to train the right candidate.We offer competitive monetary compensation with excellent benefits such as Medical, Dental, Vision, Paid sick leave, vacation, holiday and 401K. Interested candidates please send your resume to Hycare.Job Type: Full-timeJob Types: Full-time, Part-timeBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insurancePhysical Setting:OfficeSchedule:8 hour shiftMonday to FridayEducation:Bachelor's (Preferred)Experience:GAAP: 1 year (Preferred)Work Location: One location",11 days ago,"https://www.indeed.com/company/Hycare,-Inc./jobs/Accountant-Assistant-100eceb81aca19a4?fccid=a658bd03a3e1792d&vjs=3",2
Accountant Assistant,"Full-time, Part-time","Hycare, Inc.","San Leandro, CA 94577",,,,,,,"Hycare, a Premier health care provider has several skilled nursing facilities in the East Bay Areas. We are currently looking for an accountant Assistant full-time or part-time. Ideal candidate must have excellent computer skills: Excel, Word, etc. Preferred AA or BS degree in accounting. Experience preferred but willing to train the right candidate.We offer competitive monetary compensation with excellent benefits such as Medical, Dental, Vision, Paid sick leave, vacation, holiday and 401K. Interested candidates please send your resume to Hycare.Job Type: Full-timeJob Types: Full-time, Part-timeBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insurancePhysical Setting:OfficeSchedule:8 hour shiftMonday to FridayEducation:Bachelor's (Preferred)Experience:GAAP: 1 year (Preferred)Work Location: One location",11 days ago,"https://www.indeed.com/company/Hycare,-Inc./jobs/Accountant-Assistant-100eceb81aca19a4?fccid=a658bd03a3e1792d&vjs=3",3
Accounting Manager,Full-time,Historic SF Collectibles,"San Francisco, CA 94123",,,,70000,90000,,"THE ROLEPrimary DutiesAll accounting functions – Accounts Payable, Accounts Receivable, Profit & Loss, Balance Sheets, Financial Statements, Payroll, bank reconciliations, cash and funding balances, reconciliation of accounts with inventory software, invoicing payables and receiving, managing sales tax accounts, and all other accounts that require attention. All accounting is done using GAAP standards.Creating reporting tools and presenting end of day reports at the end of each dayWorking with management to create achievable pro-formas.Consistently review all payables to find ways to save the company money.Secondary Duties(we are a small business, so all employees have secondary duties - they are about 20% of the job - we'll can talk about how they work)Basic HR Management – ensure all required paper work is obtained on employees, manage health insurance plan/vendor, track PTO, etc…(we have less than 10 employees, so this is not a time-consuming task)Office management – includes proper functioning of equipment, installation of software, and interfacing with vendors to ensure the proper functioning network.Marketing support – setup / maintain mailing list, manage advertising partners (newspaper, billboard, radio)THE SKILLSThorough knowledge of and experience with QuickBooks, Excel spreadsheets and Google DocsExperience in managing AP, AR, Payroll and all matters relating to same including payroll tax payments and quarterly reports, and all other items outlined aboveFully versed in modern office technology (basics of working in the cloud, understanding the essentials of an office network, printer troubleshooting, etc…)Detail and results orientedExcellent organizational skillsAble to take coaching and feedback constructivelyAbility to take initiative and solve problems independentlyIs great at organizing and are creating systemsComfortable being the “generalist” in an office of nerdy specialistsTHE STORYHistoric SF Collectibles is one of the nation’s most loved and recognized collectible companies in the county. Founded in 1960, it is still a family owned and operated business. In addition to the responsibilites listed below, it would be a bonus (but not a requirement) to find someone who had some curiosity and interest in our field of numismatics and collectibles. While interactions with inventory is not a part of your job, you will be steeped in an environment full of history, storytelling and technical expertise. Working here is more like working on the set of a Discovery Channel or PBS show (think Antiques Roadshow, Pawn Stars or American Restoration.) That said, this position involves the traditional skill set of an accountant. (It just might be even more enjoyable for someone who has an anecdotal interest in our quirky trade.)While no one can predict the future, we like the idea of hiring someone who can see themselves here for several years. Despite being a small business, we continue to grow and expand year over year and value our employees’ role in that. We are an office of less than 10 employees in an environment with lots of camaraderie and teamwork - so the ideal candidate will value this environment and thrive in it.Job Type: Full-timePay: $70,000.00 - $90,000.00 per yearBenefits:Dental insuranceHealth insurancePaid time offPhysical Setting:OfficeSchedule:Monday to FridaySupplemental Pay:Bonus payCOVID-19 considerations:All employees are required to be vaccinated for COVID-19.The safety of our employees and customers is of high importance to us.Education:Bachelor's (Preferred)Experience:GAAP: 1 year (Preferred)License/Certification:CPA (Preferred)Work Location: One location",7 days ago,https://www.indeed.com/company/Historic-SF-Collectibles/jobs/Accounting-Manager-8a173919f67472c4?fccid=e94f28ad004c4906&vjs=3,3
General Ledger Accountant,Full-time,Eden Enterprises Inc.,"Oakland, CA 94612",,,,,,,"About Eden Enterprises:
Eden Enterprises is a vertically integrated cannabis company with expanding interests in retail, cultivation, manufacturing, distribution, and intellectual property. Eden Enterprises hosts a number of operations comprising Garden of Eden (dispensary brand), Eden Infusions(distribution/manufacturing), Terpene Belt Farms (hemp cultivation) and Terpene Belt Processing (hemp processing). Our network of experience brought to the table by cannabis business veterans, both founding members and external partners, provides the basis for vertical integration across the entire cannabis and hemp supply chains.
Primary Responsibilities:

Assist with month-end financial close process, including preparation of journal entries, reconciliations, Balance Sheet and P&L variance analysis
Assist with quarterly reporting package standardize accounting processes
Document processes and policies while partnering with Internal Audit to identify risks and define mitigating procedures
Provide support for external financial statement and regulatory compliance audits
Process accounts payable and accounts receivables.
Completes monthly financial statement close procedures to ensure timely reporting.
Assists in the preparation of consolidated internal and external financial statements by gathering and analyzing information from the general ledger system and from departments.
Maintains and balances an automated consolidation system by inputting data; scheduling required jobs; verifying data.
Prepares payments by accruing expenses; assigning account numbers; requesting disbursements; reconciling accounts.
Answers accounting and financial questions by researching and interpreting data
Protects organization's value by keeping information confidential
Performs other related duties as assigned or requested

Qualifications:

Full-cycle accountant with experience in month end-close, journal entries, prepaids, fixed assets, straight line depreciation, AP and AR, reconciliations, accruals and revenue analysis
Collaborated with internal stakeholders to support ad hoc projects as assigned
Skilled in budgeting, annual tax filings, and quarterly financial reporting
Reconciled and analyzed accounts and resolved discrepancies with assigned general ledger accounts
Responsible for management of fixed asset module, including reconciliation of model to the general ledger
BS in Accounting preferred

Eden enterprises is an equal opportunity employer, and do not unlawfully discriminate against, make employment decisions, or permit harassment based on perceived or actual race, color, religion, sex, national origin, citizenship, immigration status, marital status, age sexual orientation, gender identity characteristics or expression, disability, medical condition, U.S Military or veteran status, salary history, or any other basis protected under federal, state, or local laws, regulations, or ordinances. Eden is committed to complying with all applicable laws providing equal employment opportunities, including by not limited to the Fair Pay Act, FEHA, and all applicable laws and ordinances regarding conviction and arrest history.",10 days ago,https://www.indeed.com/rc/clk?jk=19985108c43c66b8&fccid=f7fce6ca0ba87229&vjs=3,3
Associate Revenue Accountant (Gross Accounting/Inventory Management),Full-time,Wish,"San Francisco, CA 94103",3.6,10,https://www.indeed.com/cmp/Wish-2/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lrkhlo1n1800&fromjk=f8ecb932d9f31577&jt=Associate+Revenue+Accountant+%28Gross+Accounting%2FInventory+Management%29,,,,"Company Description
Wish is a mobile e-commerce platform that flips traditional shopping on its head. We connect hundreds of millions of people with the widest selection of delightful, surprising, and—most importantly—affordable products delivered directly to their doors. Each day on Wish, millions of customers in more than 160 countries around the world discover new products. For our over 1 million merchant partners, anyone with a good idea and a mobile phone can instantly tap into a global market.
We're fueled by creating unique products and experiences that give people access to a new type of commerce, where all are welcome. If you’ve been searching for a supportive environment to chase your curiosity and use data to investigate the questions that matter most to you, this is the place.

Job Description
Wish is looking for a full-time system savvy and detail-oriented Junior Inventory/Cost Accountant who will work closely with other accounting and finance team members. The accountant will play an integral role to manage all inventory aspects. This person is also a key player in assisting the Accounting team with month-end closing and account reconciliations, audit, and any ad hoc projects as needed. This is a great role for someone who is looking to continue their growth in an accounting career.

**Strong preference for someone to be located within the PST time zone**
What you'll be doing:
 Manage inventory quantities and costs and prepare month-end close journal entries, inventory valuation and inventory roll-forward
Reconcile inventory, receivables, revenue, deferred revenue and cost of sales accounts to the general ledger
Monitor systems to assure timely inventory transaction costing in accordance with Company accounting policy
 Work closely and proactively with various groups domestically and internationally to ensure that inventory transactions flow smoothly and consistently with financial and management reporting requirements
Liaise with the external auditors for the provision of audit related requests and resolution of any issues related to inventory
Assist in ad-hoc projects as assigned
#LI-KB1

Qualifications

BA/BS in Finance, Accounting, Business Administration or related field
Proficient with Microsoft Office and other Web based Applications
Understanding of US GAAP concepts relating to inventory, accounts receivable, revenue and cost of sales
Experience with NetSuite, or other ERP system is preferred
Excellent Microsoft Office skills, with emphasis on exceptional excel knowledge
Self-starter with ability to thrive in a fast paced and dynamic environment
Demonstrates high degree of accuracy with detail-oriented work
1-2 year minimum accounting experience
Additional Information
Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.
Individuals applying for positions at Wish, including California residents, can see our privacy policy here.",6 days ago,https://www.indeed.com/rc/clk?jk=f8ecb932d9f31577&fccid=63597530cb929df6&vjs=3,3
